Date,Rate
3/11/1991,19.07
3/18/1991,19.15285714
3/25/1991,19.28
4/1/1991,19.59857143
4/8/1991,19.69714286
4/15/1991,19.77857143
4/22/1991,19.97285714
4/29/1991,20.23
5/6/1991,20.22428571
5/13/1991,20.43571429
5/20/1991,20.51
5/27/1991,20.68285714
6/3/1991,20.83142857
6/10/1991,21.02857143
6/17/1991,21.01428571
6/24/1991,21.11142857
7/1/1991,21.39571429
7/8/1991,25.67857143
7/15/1991,25.88714286
7/22/1991,25.88142857
7/29/1991,25.73428571
8/5/1991,25.80571429
8/12/1991,25.69857143
8/19/1991,25.95857143
8/26/1991,25.95
9/2/1991,25.83285714
9/9/1991,25.80428571
9/16/1991,25.79857143
9/23/1991,25.91285714
9/30/1991,25.84
10/7/1991,25.74
10/14/1991,25.79285714
10/21/1991,25.80571429
10/28/1991,25.8
11/4/1991,25.84
11/11/1991,25.82285714
11/18/1991,25.79857143
11/25/1991,25.79142857
12/2/1991,25.80285714
12/9/1991,25.83
12/16/1991,25.84428571
12/23/1991,25.80285714
12/30/1991,25.82
1/6/1992,25.79
1/13/1992,25.80428571
1/20/1992,25.89571429
1/27/1992,25.93
2/3/1992,25.92285714
2/10/1992,25.80428571
2/17/1992,25.91
2/24/1992,26.36571429
3/2/1992,26.03571429
3/9/1992,27.92857143
3/16/1992,28.13285714
3/23/1992,28.74
3/30/1992,29.01428571
4/6/1992,29.00714286
4/13/1992,29
4/20/1992,28.98
4/27/1992,28.76857143
5/4/1992,28.55714286
5/11/1992,28.65
5/18/1992,28.39285714
5/25/1992,28.51142857
6/1/1992,28.75714286
6/8/1992,28.68428571
6/15/1992,28.45
6/22/1992,28.39857143
6/29/1992,28.45714286
7/6/1992,28.56857143
7/13/1992,28.64285714
7/20/1992,28.59285714
7/27/1992,28.50857143
8/3/1992,28.47571429
8/10/1992,28.42857143
8/17/1992,28.44285714
8/24/1992,28.47571429
8/31/1992,28.56857143
9/7/1992,28.48
9/14/1992,28.46285714
9/21/1992,28.48
9/28/1992,28.48
10/5/1992,28.47571429
10/12/1992,28.45
10/19/1992,28.47
10/26/1992,28.52571429
11/2/1992,28.48
11/9/1992,28.45428571
11/16/1992,28.45571429
11/23/1992,28.48
11/30/1992,28.51142857
12/7/1992,28.85714286
12/14/1992,29.11
12/21/1992,28.99714286
12/28/1992,29
1/4/1993,29
1/11/1993,29.00285714
1/18/1993,29
1/25/1993,29.00714286
2/1/1993,29.21428571
2/8/1993,29.72857143
2/15/1993,30.33571429
2/22/1993,30.17857143
3/1/1993,30.73571429
3/8/1993,32.24285714
3/15/1993,31.81428571
